From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
Q9Y6M9	Q9Y6M9	NDUB9_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (LYR motif-containing protein 3) (NADH-ubiquinone oxidoreductase B22 subunit)	NDUFB9 LYRM3 UQOR22	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; sensory perception of sound [GO:0007605]
Q9H4A4	Q9H4A4	AMPB_HUMAN	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP APB	proteolysis [GO:0006508]
P52701	P52701	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	determination of adult lifespan [GO:0008340]; DNA repair [GO:0006281]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; isotype switching [GO:0045190]; meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]; positive regulation of helicase activity [GO:0051096]; response to UV [GO:0009411]; somatic hypermutation of immunoglobulin genes [GO:0016446]; somatic recombination of immunoglobulin gene segments [GO:0016447]; spermatogenesis [GO:0007283]
Q9Y3B7	Q9Y3B7	RM11_HUMAN	39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11) (Mitochondrial large ribosomal subunit protein uL11m)	MRPL11 CGI-113	mitochondrial translation [GO:0032543]; translation [GO:0006412]
O95881	O95881	TXD12_HUMAN	Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 18) (ER protein 18) (ERp18) (Endoplasmic reticulum resident protein 19) (ER protein 19) (ERp19) (Thioredoxin-like protein p19) (hTLP19)	TXNDC12 TLP19 UNQ713/PRO1376	negative regulation of cell death [GO:0060548]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]
O43665	O43665	RGS10_HUMAN	Regulator of G-protein signaling 10 (RGS10)	RGS10	G protein-coupled acetylcholine receptor signaling pathway [GO:0007213]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of signal transduction [GO:0009968]; positive regulation of GTPase activity [GO:0043547]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]
Q14061	Q14061	COX17_HUMAN	Cytochrome c oxidase copper chaperone	COX17	copper ion transport [GO:0006825]; generation of precursor metabolites and energy [GO:0006091]; mitochondrial cytochrome c oxidase assembly [GO:0033617]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytochrome-c oxidase activity [GO:1904960]; sequestering of metal ion [GO:0051238]
O14974	O14974	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	PPP1R12A MBS MYPT1	cellular response to xenobiotic stimulus [GO:0071466]; centrosome cycle [GO:0007098]; mitotic cell cycle [GO:0000278]; negative regulation of catalytic activity [GO:0043086]; positive regulation of myosin-light-chain-phosphatase activity [GO:0035508]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of myosin-light-chain-phosphatase activity [GO:0035507]; regulation of nucleocytoplasmic transport [GO:0046822]; signal transduction [GO:0007165]
O95777	O95777	LSM8_HUMAN	U6 snRNA-associated Sm-like protein LSm8	LSM8	mRNA splicing, via spliceosome [GO:0000398]; RNA metabolic process [GO:0016070]
O43681	O43681	GET3_HUMAN	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)	GET3 ARSA ASNA1 TRC40	post-translational protein targeting to endoplasmic reticulum membrane [GO:0006620]; protein insertion into ER membrane [GO:0045048]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]
Q13596	Q13596	SNX1_HUMAN	Sorting nexin-1	SNX1	early endosome to Golgi transport [GO:0034498]; intracellular protein transport [GO:0006886]; lamellipodium morphogenesis [GO:0072673]; positive regulation of protein catabolic process [GO:0045732]; receptor internalization [GO:0031623]; retrograde transport, endosome to Golgi [GO:0042147]
P01111	P01111	RASN_HUMAN	GTPase NRas (EC 3.6.5.2) (Transforming protein N-Ras)	NRAS HRAS1	MAPK cascade [GO:0000165]; myoblast differentiation [GO:0045445]; positive regulation of endothelial cell proliferation [GO:0001938]; Ras protein signal transduction [GO:0007265]
Q13126	Q13126	MTAP_HUMAN	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	MTAP MSAP	L-methionine salvage from methylthioadenosine [GO:0019509]; methylation [GO:0032259]; nucleobase-containing compound metabolic process [GO:0006139]; purine ribonucleoside salvage [GO:0006166]; response to testosterone [GO:0033574]
O60749	O60749	SNX2_HUMAN	Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)	SNX2 TRG9	early endosome to Golgi transport [GO:0034498]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; lamellipodium morphogenesis [GO:0072673]; retrograde transport, endosome to Golgi [GO:0042147]
O75643	O75643	U520_HUMAN	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	SNRNP200 ASCC3L1 HELIC2 KIAA0788	cis assembly of pre-catalytic spliceosome [GO:0000354]; mRNA splicing, via spliceosome [GO:0000398]; osteoblast differentiation [GO:0001649]; spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]
Q9H488	Q9H488	OFUT1_HUMAN	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	POFUT1 FUT12 KIAA0180	angiogenesis [GO:0001525]; fucose metabolic process [GO:0006004]; heart development [GO:0007507]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; O-glycan processing [GO:0016266]; protein O-linked fucosylation [GO:0036066]; protein O-linked glycosylation [GO:0006493]; regulation of DNA-templated transcription [GO:0006355]; regulation of Notch signaling pathway [GO:0008593]; somitogenesis [GO:0001756]
P36551	P36551	HEM6_HUMAN	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	CPOX CPO CPX	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to arsenic-containing substance [GO:0046685]; response to insecticide [GO:0017085]; response to iron ion [GO:0010039]; response to lead ion [GO:0010288]; response to methylmercury [GO:0051597]
P29590	P29590	PML_HUMAN	Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19)	PML MYL PP8675 RNF71 TRIM19	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cell fate commitment [GO:0045165]; cellular response to interleukin-4 [GO:0071353]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular senescence [GO:0090398]; circadian regulation of gene expression [GO:0032922]; common-partner SMAD protein phosphorylation [GO:0007182]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; entrainment of circadian clock by photoperiod [GO:0043153]; extrinsic apoptotic signaling pathway [GO:0097191]; fibroblast migration [GO:0010761]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; maintenance of protein location in nucleus [GO:0051457]; myeloid cell differentiation [GO:0030099]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of translation in response to oxidative stress [GO:0032938]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; oncogene-induced cell senescence [GO:0090402]; PML body organization [GO:0030578]; positive regulation of apoptotic process involved in mammary gland involution [GO:0060058]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of peptidyl-lysine acetylation [GO:2000758]; positive regulation of protein localization to chromosome, telomeric region [GO:1904816]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; positive regulation of telomere maintenance [GO:0032206]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein import into nucleus [GO:0006606]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; protein-containing complex assembly [GO:0065003]; protein-containing complex localization [GO:0031503]; regulation of calcium ion transport into cytosol [GO:0010522]; regulation of cell adhesion [GO:0030155]; regulation of cell cycle [GO:0051726]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; response to cytokine [GO:0034097]; response to gamma radiation [GO:0010332]; response to hypoxia [GO:0001666]; response to UV [GO:0009411]; retinoic acid receptor signaling pathway [GO:0048384]; suppression of viral release by host [GO:0044790]; transforming growth factor beta receptor signaling pathway [GO:0007179]
Q8N1F7	Q8N1F7	NUP93_HUMAN	Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93)	NUP93 KIAA0095	nuclear envelope organization [GO:0006998]; nuclear pore complex assembly [GO:0051292]; nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of SMAD protein signal transduction [GO:0060391]; protein import into nucleus [GO:0006606]; SMAD protein signal transduction [GO:0060395]
P12270	P12270	TPR_HUMAN	Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)	TPR	cell division [GO:0051301]; cellular response to heat [GO:0034605]; cellular response to interferon-alpha [GO:0035457]; mitotic spindle assembly checkpoint signaling [GO:0007094]; mRNA export from nucleus [GO:0006406]; mRNA export from nucleus in response to heat stress [GO:0031990]; negative regulation of RNA export from nucleus [GO:0046832]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of translational initiation [GO:0045947]; nuclear pore organization [GO:0006999]; nucleocytoplasmic transport [GO:0006913]; positive regulation of heterochromatin assembly [GO:0031453]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein import into nucleus [GO:0042307]; protein import into nucleus [GO:0006606]; regulation of mitotic sister chromatid separation [GO:0010965]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein localization [GO:0032880]; response to epidermal growth factor [GO:0070849]; RNA export from nucleus [GO:0006405]; RNA import into nucleus [GO:0006404]
Q9BRP8	Q9BRP8	PYM1_HUMAN	Partner of Y14 and mago (PYM homolog 1 exon junction complex-associated factor) (Protein wibg homolog)	PYM1 PYM WIBG	exon-exon junction complex disassembly [GO:1903259]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]
Q02252	Q02252	MMSA_HUMAN	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)	ALDH6A1 MMSDH	branched-chain amino acid catabolic process [GO:0009083]; brown fat cell differentiation [GO:0050873]; thymine catabolic process [GO:0006210]; thymine metabolic process [GO:0019859]; valine catabolic process [GO:0006574]; valine metabolic process [GO:0006573]
P07686	P07686	HEXB_HUMAN	Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A]	HEXB HCC7	astrocyte cell migration [GO:0043615]; cellular calcium ion homeostasis [GO:0006874]; ganglioside catabolic process [GO:0006689]; glycosaminoglycan metabolic process [GO:0030203]; hyaluronan catabolic process [GO:0030214]; lipid storage [GO:0019915]; locomotory behavior [GO:0007626]; lysosome organization [GO:0007040]; maintenance of location in cell [GO:0051651]; male courtship behavior [GO:0008049]; myelination [GO:0042552]; neuromuscular process controlling balance [GO:0050885]; neuron cellular homeostasis [GO:0070050]; oligosaccharide catabolic process [GO:0009313]; oogenesis [GO:0048477]; penetration of zona pellucida [GO:0007341]; phospholipid biosynthetic process [GO:0008654]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein metabolic process [GO:0019538]; regulation of cell shape [GO:0008360]; sensory perception of sound [GO:0007605]; single fertilization [GO:0007338]; skeletal system development [GO:0001501]
Q7L014	Q7L014	DDX46_HUMAN	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	DDX46 KIAA0801	mRNA splicing, via spliceosome [GO:0000398]; U2-type prespliceosome assembly [GO:1903241]
O60925	O60925	PFD1_HUMAN	Prefoldin subunit 1	PFDN1 PFD1	negative regulation of amyloid fibril formation [GO:1905907]; protein folding [GO:0006457]; protein stabilization [GO:0050821]
Q9UMX5	Q9UMX5	NENF_HUMAN	Neudesin (Cell immortalization-related protein 2) (Neuron-derived neurotrophic factor) (Protein GIG47) (Secreted protein of unknown function) (SPUF protein)	NENF CIR2 SPUF	MAPK cascade [GO:0000165]; negative regulation of appetite [GO:0032099]; negative regulation of neuron death [GO:1901215]; positive regulation of MAPK cascade [GO:0043410]
Q86XP3	Q86XP3	DDX42_HUMAN	ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42) (RNA helicase-like protein) (RHELP) (RNA helicase-related protein) (RNAHP) (SF3b DEAD box protein) (Splicing factor 3B-associated 125 kDa protein) (SF3b125)	DDX42	protein localization [GO:0008104]; regulation of apoptotic process [GO:0042981]
Q9Y5B9	Q9Y5B9	SP16H_HUMAN	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	SUPT16H FACT140 FACTP140	DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA replication-independent chromatin organization [GO:0034724]; nucleosome assembly [GO:0006334]; nucleosome disassembly [GO:0006337]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase II promoter [GO:0006368]
Q14914	Q14914	PTGR1_HUMAN	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)	PTGR1 LTB4DH	leukotriene B4 metabolic process [GO:0036102]; leukotriene metabolic process [GO:0006691]; lipoxin A4 metabolic process [GO:2001302]; prostaglandin metabolic process [GO:0006693]; response to antineoplastic agent [GO:0097327]
P61326	P61326	MGN_HUMAN	Protein mago nashi homolog	MAGOH MAGOHA	mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA processing [GO:0050684]; regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000622]; regulation of translation [GO:0006417]; RNA splicing [GO:0008380]
Q9NTX5	Q9NTX5	ECHD1_HUMAN	Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD)	ECHDC1	fatty acid beta-oxidation [GO:0006635]
Q92900	Q92900	RENT1_HUMAN	Regulator of nonsense transcripts 1 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	UPF1 KIAA0221 RENT1	3'-UTR-mediated mRNA destabilization [GO:0061158]; cell cycle phase transition [GO:0044770]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; histone mRNA catabolic process [GO:0071044]; mRNA export from nucleus [GO:0006406]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of mRNA catabolic process [GO:0061014]; regulation of telomere maintenance [GO:0032204]; regulation of translational termination [GO:0006449]; telomere maintenance via semi-conservative replication [GO:0032201]
Q14151	Q14151	SAFB2_HUMAN	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138	regulation of androgen receptor signaling pathway [GO:0060765]; regulation of mRNA processing [GO:0050684]; regulation of transcription by RNA polymerase II [GO:0006357]; Sertoli cell differentiation [GO:0060008]
Q9UKD2	Q9UKD2	MRT4_HUMAN	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)	MRTO4 C1orf33 MRT4	nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]
Q00013	Q00013	EM55_HUMAN	55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)	MPP1 DXS552E EMP55	regulation of neutrophil chemotaxis [GO:0090022]; signal transduction [GO:0007165]
P51648	P51648	AL3A2_HUMAN	Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 10) (Fatty aldehyde dehydrogenase) (Microsomal aldehyde dehydrogenase)	ALDH3A2 ALDH10 FALDH	cellular aldehyde metabolic process [GO:0006081]; central nervous system development [GO:0007417]; epidermis development [GO:0008544]; fatty acid metabolic process [GO:0006631]; hexadecanal metabolic process [GO:0046458]; peripheral nervous system development [GO:0007422]; phytol metabolic process [GO:0033306]; sesquiterpenoid metabolic process [GO:0006714]
Q96A72	Q96A72	MGN2_HUMAN	Protein mago nashi homolog 2	MAGOHB MAGOH2	mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; RNA splicing [GO:0008380]
O43920	O43920	NDUS5_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	NDUFS5	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]
O15067	O15067	PUR4_HUMAN	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase)	PFAS KIAA0361	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; 'de novo' XMP biosynthetic process [GO:0097294]; anterior head development [GO:0097065]; glutamine metabolic process [GO:0006541]; GMP biosynthetic process [GO:0006177]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; response to xenobiotic stimulus [GO:0009410]
P16083	P16083	NQO2_HUMAN	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	NQO2 NMOR2	quinone catabolic process [GO:1901662]
Q9NZL9	Q9NZL9	MAT2B_HUMAN	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)	MAT2B TGR MSTP045 Nbla02999 UNQ2435/PRO4995	one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
Q15437	Q15437	SC23B_HUMAN	Protein transport protein Sec23B (hSec23B) (SEC23-related protein B)	SEC23B	COPII-coated vesicle cargo loading [GO:0090110]; intracellular protein transport [GO:0006886]
Q9BY32	Q9BY32	ITPA_HUMAN	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (Putative oncogene protein hlc14-06-p)	ITPA C20orf37 My049 OK/SW-cl.9	chromosome organization [GO:0051276]; deoxyribonucleoside triphosphate catabolic process [GO:0009204]; ITP catabolic process [GO:0006193]; nucleoside triphosphate catabolic process [GO:0009143]
O00764	O00764	PDXK_HUMAN	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	PDXK C21orf124 C21orf97 PKH PNK PRED79	phosphorylation [GO:0016310]; pyridoxal 5'-phosphate salvage [GO:0009443]
P16930	P16930	FAAA_HUMAN	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	FAH	arginine catabolic process [GO:0006527]; homogentisate catabolic process [GO:1902000]; L-phenylalanine catabolic process [GO:0006559]; lipid metabolic process [GO:0006629]; tyrosine catabolic process [GO:0006572]
O00170	O00170	AIP_HUMAN	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	AIP XAP2	negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; protein maturation by protein folding [GO:0022417]; protein targeting to mitochondrion [GO:0006626]; regulation of protein kinase A signaling [GO:0010738]; xenobiotic metabolic process [GO:0006805]
P09234	P09234	RU1C_HUMAN	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC	mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]
P13861	P13861	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	intracellular signal transduction [GO:0035556]; negative regulation of cAMP-dependent protein kinase activity [GO:2000480]
P10253	P10253	LYAG_HUMAN	Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase]	GAA	cardiac muscle contraction [GO:0060048]; diaphragm contraction [GO:0002086]; glucose metabolic process [GO:0006006]; glycogen catabolic process [GO:0005980]; glycophagy [GO:0061723]; heart morphogenesis [GO:0003007]; locomotory behavior [GO:0007626]; lysosome organization [GO:0007040]; maltose metabolic process [GO:0000023]; muscle cell cellular homeostasis [GO:0046716]; neuromuscular process controlling balance [GO:0050885]; neuromuscular process controlling posture [GO:0050884]; regulation of the force of heart contraction [GO:0002026]; sucrose metabolic process [GO:0005985]; tissue development [GO:0009888]; vacuolar sequestering [GO:0043181]
Q92882	Q92882	OSTF1_HUMAN	Osteoclast-stimulating factor 1	OSTF1	ossification [GO:0001503]; signal transduction [GO:0007165]
Q9UHB9	Q9UHB9	SRP68_HUMAN	Signal recognition particle subunit SRP68 (SRP68) (Signal recognition particle 68 kDa protein)	SRP68	response to xenobiotic stimulus [GO:0009410]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
P30419	P30419	NMT1_HUMAN	Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (HsNMT1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1) (Protein-lysine myristoyltransferase NMT1) (EC 2.3.1.-)	NMT1 NMT	cellular ketone metabolic process [GO:0042180]; in utero embryonic development [GO:0001701]; N-terminal peptidyl-glycine N-myristoylation [GO:0018008]; N-terminal protein myristoylation [GO:0006499]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; regulation of rhodopsin mediated signaling pathway [GO:0022400]
Q93009	Q93009	UBP7_HUMAN	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP	histone H2B conserved C-terminal lysine deubiquitination [GO:0035616]; maintenance of DNA methylation [GO:0010216]; monoubiquitinated protein deubiquitination [GO:0035520]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; positive regulation of DNA demethylation [GO:1901537]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-binding transcription factor activity [GO:0051090]; regulation of gluconeogenesis [GO:0006111]; regulation of protein stability [GO:0031647]; regulation of retrograde transport, endosome to Golgi [GO:1905279]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of telomere capping [GO:1904353]; rhythmic process [GO:0048511]; transcription-coupled nucleotide-excision repair [GO:0006283]; ubiquitin-dependent protein catabolic process [GO:0006511]
P21399	P21399	ACOHC_HUMAN	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	ACO1 IREB1	cellular iron ion homeostasis [GO:0006879]; citrate metabolic process [GO:0006101]; intestinal absorption [GO:0050892]; post-embryonic development [GO:0009791]; regulation of translation [GO:0006417]; response to iron(II) ion [GO:0010040]; tricarboxylic acid cycle [GO:0006099]
